[21:10:33] J9: Balón detectado: dist=12.20 ang=-3.0 → bx=12.18, by=-0.64
[21:10:33] J9: Balón detectado: dist=11.00 ang=-4.0 → bx=10.97, by=-0.77
[21:10:33] J9: Balón detectado: dist=11.00 ang=-2.0 → bx=10.99, by=-0.38
[21:10:34] J9: Balón detectado: dist=11.00 ang=-2.0 → bx=10.99, by=-0.38
[21:10:34] J9: Balón detectado: dist=10.00 ang=-2.0 → bx=9.99, by=-0.35
[21:10:34] J9: Balón detectado: dist=10.00 ang=-2.0 → bx=9.99, by=-0.35
[21:10:34] J9: Balón detectado: dist=10.00 ang=-2.0 → bx=9.99, by=-0.35
[21:10:35] J9: Balón detectado: dist=10.00 ang=-2.0 → bx=9.99, by=-0.35
[21:10:35] J9: Balón detectado: dist=10.00 ang=-2.0 → bx=9.99, by=-0.35
[21:10:35] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:35] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:35] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:36] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:36] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:36] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:36] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:37] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:37] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:37] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:37] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:37] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:38] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:38] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:38] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:38] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
