[21:10:00] J8: Balón detectado: dist=40.40 ang=-11.0 → bx=39.66, by=-7.71
[21:10:00] J8: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:02] J8: Balón detectado: dist=13.50 ang=-59.0 → bx=6.95, by=-11.57
[21:10:02] J8: Balón detectado: dist=13.50 ang=-59.0 → bx=6.95, by=-11.57
[21:10:02] J8: Balón detectado: dist=13.50 ang=-59.0 → bx=6.95, by=-11.57
[21:10:02] J8: Balón detectado: dist=13.50 ang=-59.0 → bx=6.95, by=-11.57
[21:10:02] J8: Balón detectado: dist=13.50 ang=-59.0 → bx=6.95, by=-11.57
[21:10:02] J8: Balón detectado: dist=13.50 ang=-59.0 → bx=6.95, by=-11.57
[21:10:02] J8: Balón detectado: dist=13.50 ang=-1.0 → bx=13.50, by=-0.24
[21:10:39] J8: Balón detectado: dist=40.40 ang=55.0 → bx=23.17, by=33.09
[21:10:39] J8: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:10:39] J8: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:10:40] J8: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:10:40] J8: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:10:40] J8: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:10:40] J8: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:10:40] J8: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:10:41] J8: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:10:41] J8: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:10:41] J8: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:10:41] J8: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:10:42] J8: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:10:42] J8: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:10:42] J8: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:10:42] J8: Balón detectado: dist=27.10 ang=0.0 → bx=27.10, by=0.00
[21:10:43] J8: Balón detectado: dist=27.10 ang=0.0 → bx=27.10, by=0.00
[21:10:43] J8: Balón detectado: dist=27.10 ang=0.0 → bx=27.10, by=0.00
[21:10:43] J8: Balón detectado: dist=24.50 ang=0.0 → bx=24.50, by=0.00
[21:10:43] J8: Balón detectado: dist=24.50 ang=0.0 → bx=24.50, by=0.00
[21:10:43] J8: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:10:44] J8: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:10:44] J8: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:10:44] J8: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:10:44] J8: Balón detectado: dist=20.10 ang=-1.0 → bx=20.10, by=-0.35
[21:10:44] J8: Balón detectado: dist=20.10 ang=-1.0 → bx=20.10, by=-0.35
[21:10:45] J8: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:10:45] J8: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:10:45] J8: Balón detectado: dist=16.40 ang=-1.0 → bx=16.40, by=-0.29
[21:10:45] J8: Balón detectado: dist=16.40 ang=-2.0 → bx=16.39, by=-0.57
[21:10:46] J8: Balón detectado: dist=16.40 ang=-2.0 → bx=16.39, by=-0.57
[21:10:46] J8: Balón detectado: dist=14.90 ang=-2.0 → bx=14.89, by=-0.52
[21:10:46] J8: Balón detectado: dist=13.50 ang=-2.0 → bx=13.49, by=-0.47
[21:10:46] J8: Balón detectado: dist=13.50 ang=-2.0 → bx=13.49, by=-0.47
[21:10:46] J8: Balón detectado: dist=12.20 ang=-2.0 → bx=12.19, by=-0.43
[21:10:47] J8: Balón detectado: dist=12.20 ang=-5.0 → bx=12.15, by=-1.06
[21:10:47] J8: Balón detectado: dist=12.20 ang=-3.0 → bx=12.18, by=-0.64
[21:10:47] J8: Balón detectado: dist=11.00 ang=-4.0 → bx=10.97, by=-0.77
[21:10:47] J8: Balón detectado: dist=11.00 ang=-1.0 → bx=11.00, by=-0.19
