[21:10:53] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:54] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:54] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:54] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:54] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:55] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:55] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:55] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:55] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:55] J7: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:10:56] J7: Balón detectado: dist=9.00 ang=-4.0 → bx=8.98, by=-0.63
[21:10:56] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:56] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:56] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:56] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:10:58] J7: Balón detectado: dist=8.20 ang=0.0 → bx=8.20, by=0.00
[21:10:58] J7: Balón detectado: dist=7.40 ang=0.0 → bx=7.40, by=0.00
[21:10:59] J7: Balón detectado: dist=6.70 ang=0.0 → bx=6.70, by=0.00
[21:10:59] J7: Balón detectado: dist=6.70 ang=0.0 → bx=6.70, by=0.00
[21:10:59] J7: Balón detectado: dist=6.00 ang=0.0 → bx=6.00, by=0.00
[21:10:59] J7: Balón detectado: dist=5.50 ang=0.0 → bx=5.50, by=0.00
[21:11:00] J7: Balón detectado: dist=4.50 ang=0.0 → bx=4.50, by=0.00
[21:11:00] J7: Balón detectado: dist=3.70 ang=-1.0 → bx=3.70, by=-0.06
[21:11:00] J7: Balón detectado: dist=3.00 ang=0.0 → bx=3.00, by=0.00
[21:11:00] J7: Balón detectado: dist=2.50 ang=1.0 → bx=2.50, by=0.04
[21:11:00] J7: Balón detectado: dist=1.80 ang=1.0 → bx=1.80, by=0.03
[21:11:01] J7: Balón detectado: dist=9.00 ang=-24.0 → bx=8.22, by=-3.66
[21:11:01] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:01] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:01] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:02] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:02] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:02] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:02] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:02] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:03] J7: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:11:27] J7: Balón detectado: dist=60.30 ang=43.0 → bx=44.10, by=41.12
[21:11:27] J7: Balón detectado: dist=60.30 ang=14.0 → bx=58.51, by=14.59
[21:11:27] J7: Balón detectado: dist=60.30 ang=1.0 → bx=60.29, by=1.05
[21:11:28] J7: Balón detectado: dist=60.30 ang=1.0 → bx=60.29, by=1.05
[21:11:28] J7: Balón detectado: dist=60.30 ang=1.0 → bx=60.29, by=1.05
[21:11:28] J7: Balón detectado: dist=60.30 ang=1.0 → bx=60.29, by=1.05
