[21:10:00] J10: Balón detectado: dist=24.50 ang=59.0 → bx=12.62, by=21.00
[21:10:01] J10: Balón detectado: dist=54.60 ang=-23.0 → bx=50.26, by=-21.33
[21:10:01] J10: Balón detectado: dist=54.60 ang=-23.0 → bx=50.26, by=-21.33
[21:10:01] J10: Balón detectado: dist=54.60 ang=-23.0 → bx=50.26, by=-21.33
[21:10:01] J10: Balón detectado: dist=54.60 ang=-23.0 → bx=50.26, by=-21.33
[21:10:01] J10: Balón detectado: dist=54.60 ang=-23.0 → bx=50.26, by=-21.33
[21:10:01] J10: Balón detectado: dist=54.60 ang=-23.0 → bx=50.26, by=-21.33
[21:10:02] J10: Balón detectado: dist=54.60 ang=-36.0 → bx=44.17, by=-32.09
[21:10:03] J10: Balón detectado: dist=54.60 ang=-14.0 → bx=52.98, by=-13.21
[21:10:03] J10: Balón detectado: dist=54.60 ang=32.0 → bx=46.30, by=28.93
[21:10:03] J10: Balón detectado: dist=54.60 ang=32.0 → bx=46.30, by=28.93
[21:10:03] J10: Balón detectado: dist=54.60 ang=32.0 → bx=46.30, by=28.93
[21:10:03] J10: Balón detectado: dist=54.60 ang=32.0 → bx=46.30, by=28.93
[21:10:04] J10: Balón detectado: dist=54.60 ang=19.0 → bx=51.63, by=17.78
[21:10:04] J10: Balón detectado: dist=54.60 ang=-12.0 → bx=53.41, by=-11.35
[21:10:05] J10: Balón detectado: dist=54.60 ang=-42.0 → bx=40.58, by=-36.53
[21:10:06] J10: Balón detectado: dist=54.60 ang=-25.0 → bx=49.48, by=-23.07
[21:10:06] J10: Balón detectado: dist=54.60 ang=-43.0 → bx=39.93, by=-37.24
[21:10:06] J10: Balón detectado: dist=54.60 ang=-43.0 → bx=39.93, by=-37.24
[21:10:07] J10: Balón detectado: dist=54.60 ang=-43.0 → bx=39.93, by=-37.24
[21:10:07] J10: Balón detectado: dist=54.60 ang=-44.0 → bx=39.28, by=-37.93
[21:10:07] J10: Balón detectado: dist=54.60 ang=-20.0 → bx=51.31, by=-18.67
[21:10:07] J10: Balón detectado: dist=54.60 ang=20.0 → bx=51.31, by=18.67
[21:10:14] J10: Balón detectado: dist=49.40 ang=46.0 → bx=34.32, by=35.54
[21:10:14] J10: Balón detectado: dist=49.40 ang=17.0 → bx=47.24, by=14.44
[21:10:14] J10: Balón detectado: dist=49.40 ang=2.0 → bx=49.37, by=1.72
[21:10:14] J10: Balón detectado: dist=49.40 ang=2.0 → bx=49.37, by=1.72
[21:10:14] J10: Balón detectado: dist=49.40 ang=2.0 → bx=49.37, by=1.72
[21:10:15] J10: Balón detectado: dist=49.40 ang=2.0 → bx=49.37, by=1.72
[21:10:15] J10: Balón detectado: dist=49.40 ang=2.0 → bx=49.37, by=1.72
[21:10:15] J10: Balón detectado: dist=44.70 ang=2.0 → bx=44.67, by=1.56
[21:10:15] J10: Balón detectado: dist=44.70 ang=2.0 → bx=44.67, by=1.56
[21:10:15] J10: Balón detectado: dist=44.70 ang=2.0 → bx=44.67, by=1.56
[21:10:16] J10: Balón detectado: dist=44.70 ang=3.0 → bx=44.64, by=2.34
[21:10:16] J10: Balón detectado: dist=44.70 ang=3.0 → bx=44.64, by=2.34
[21:10:16] J10: Balón detectado: dist=44.70 ang=3.0 → bx=44.64, by=2.34
[21:10:16] J10: Balón detectado: dist=44.70 ang=5.0 → bx=44.53, by=3.90
[21:10:17] J10: Balón detectado: dist=49.40 ang=3.0 → bx=49.33, by=2.59
[21:10:17] J10: Balón detectado: dist=49.40 ang=5.0 → bx=49.21, by=4.31
[21:10:17] J10: Balón detectado: dist=54.60 ang=3.0 → bx=54.53, by=2.86
[21:10:17] J10: Balón detectado: dist=54.60 ang=4.0 → bx=54.47, by=3.81
[21:10:18] J10: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:10:18] J10: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:10:18] J10: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:10:18] J10: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:10:18] J10: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:10:19] J10: Balón detectado: dist=54.60 ang=1.0 → bx=54.59, by=0.95
[21:10:19] J10: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:19] J10: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:19] J10: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:19] J10: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:20] J10: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:20] J10: Balón detectado: dist=49.40 ang=1.0 → bx=49.39, by=0.86
[21:10:20] J10: Balón detectado: dist=44.70 ang=1.0 → bx=44.69, by=0.78
[21:10:20] J10: Balón detectado: dist=44.70 ang=1.0 → bx=44.69, by=0.78
[21:10:21] J10: Balón detectado: dist=44.70 ang=1.0 → bx=44.69, by=0.78
[21:10:21] J10: Balón detectado: dist=44.70 ang=2.0 → bx=44.67, by=1.56
[21:10:21] J10: Balón detectado: dist=44.70 ang=2.0 → bx=44.67, by=1.56
[21:10:21] J10: Balón detectado: dist=44.70 ang=2.0 → bx=44.67, by=1.56
[21:10:21] J10: Balón detectado: dist=40.40 ang=2.0 → bx=40.38, by=1.41
[21:10:22] J10: Balón detectado: dist=40.40 ang=2.0 → bx=40.38, by=1.41
[21:10:22] J10: Balón detectado: dist=40.40 ang=2.0 → bx=40.38, by=1.41
[21:10:22] J10: Balón detectado: dist=40.40 ang=2.0 → bx=40.38, by=1.41
[21:10:22] J10: Balón detectado: dist=40.40 ang=2.0 → bx=40.38, by=1.41
[21:10:23] J10: Balón detectado: dist=40.40 ang=1.0 → bx=40.39, by=0.71
[21:10:23] J10: Balón detectado: dist=36.60 ang=2.0 → bx=36.58, by=1.28
[21:10:23] J10: Balón detectado: dist=36.60 ang=2.0 → bx=36.58, by=1.28
[21:10:23] J10: Balón detectado: dist=36.60 ang=2.0 → bx=36.58, by=1.28
[21:10:23] J10: Balón detectado: dist=36.60 ang=2.0 → bx=36.58, by=1.28
[21:10:24] J10: Balón detectado: dist=36.60 ang=2.0 → bx=36.58, by=1.28
[21:10:24] J10: Balón detectado: dist=33.10 ang=2.0 → bx=33.08, by=1.16
[21:10:24] J10: Balón detectado: dist=33.10 ang=2.0 → bx=33.08, by=1.16
[21:10:24] J10: Balón detectado: dist=33.10 ang=2.0 → bx=33.08, by=1.16
[21:10:25] J10: Balón detectado: dist=33.10 ang=2.0 → bx=33.08, by=1.16
[21:10:25] J10: Balón detectado: dist=30.00 ang=2.0 → bx=29.98, by=1.05
[21:10:25] J10: Balón detectado: dist=30.00 ang=2.0 → bx=29.98, by=1.05
[21:10:25] J10: Balón detectado: dist=30.00 ang=2.0 → bx=29.98, by=1.05
[21:10:25] J10: Balón detectado: dist=30.00 ang=2.0 → bx=29.98, by=1.05
[21:10:26] J10: Balón detectado: dist=27.10 ang=2.0 → bx=27.08, by=0.95
[21:10:26] J10: Balón detectado: dist=27.10 ang=2.0 → bx=27.08, by=0.95
